text,value
"banyak resto seafood/boga bahari, tempat bagus, dan cocok untuk menikmati senja bareng keluarga atau kekasih ðŸ‘ðŸ‘ðŸ˜‚",POSITIF
pantai kotor,NEGATIF
Enak buat makan seafood,POSITIF
"Tempat nya bagus, hanya saja untuk saat ini masih banyak wahana yang masih tutup. Karna efek pandemi.",POSITIF
Aku benci masa 1 orang bayarnya  90.000 behhhhh bankrut dah,NEGATIF
"tempat parkirnya di benahi, percuma wisata bagus parkiran liar dimana mana dengan harga yang tidak wajar",NEGATIF
"Pantai yg indah dan asri....
Juga di lengkapi pasar ikan beraneka ragam",POSITIF
"Pantai nya ombaknya besar,  gak cocok untuk berenang",POSITIF
"Pantai lumayan, cuma kalou mau parkir mobil susah kita harus makan di warung dulu baru boleh parkir",NEGATIF
Tempat asik,POSITIF
Waktu masuk semua minuman termasuk wafer buat baby harus dititipkan. Gilanya alesannya biar beli di dalam yang harganya 3x lipat lebih dr harga di luar. Ini perampokan namanya. Mana wahananya msh bnyk yang belom operasi.,NEGATIF
"BANYAK ORANG MEROKOK

Sangat disayangkan. Tempat wisata anak-anak, tapi disekitarnya banyak orang yang merokok. Disaat musim liburan, pernah saya harus membawa anak saya cepat-cepat keluar karena anak saya sesak nafas.
Saya coba complain kepada pegawai di Gembira Loka, namun mereka bilang di GLZOO memang tidak ada larangan merokok dari manajemen. Jadi mereka tidak bisa melarang.",NEGATIF
"Assalamu'alaikum wr wb. Ayo ajak keluarga kita saling menghargai, dengan saling mengenalkan lingkungan di SEKITAR.",POSITIF
"Kotor. Pasir hitam. Ombaknya gede banget khas laut selatan, gak bisa buat main anak2. Klo mau mkn, mesti beli ikan dulu di pasar ikan gajauh dr situ. Kalo disamperin sm ibu2 yang nawarin masak sm nawarin tempat, baiknya tanya dulu harganya, tawar klo bisa. Gw beli ikan hiu 1.5kilo,udang 2kilo,ikan sm cumi1.5kilo, ibu2 itu nawarin 15rb/kilo jadi 75k. Nasi buat 10 org 6k/org, minum 25k total 160k. Aneh aja nawarin kok masakin, waktu main dan makan di pantai Anyer, beli udang sekilo 80k udah plus masak. Bahkan waktu ke pantai Drini, tukang jualannya jg nawarinnya ikan skilo itu sudah pkus masak. Males sih ksitu lagi sih, sayang banget..",NEGATIF
"Tgl 16 juni 2018, saya sekeluarga ke Jogja Bay. 6 dewasa 2 anak kecil dibawah 110cm. Harga lebaran dr tgl 14 juni sdh dinaikkan menjadi Rp.150.000 dr harga normal dan dipasang pada layar tv diatas loket pembayaran. Namun pada saat akan membayar petugas menyampaikan bahwa ada charges tambahan Rp. 25.000/org (entah berlaku berapa hari). Biaya tambahan tsb sama sekali tdk tertulis dilayar pemberitahuan harga. Sungguh kecewa karena harga pokok pun sdh dinaikkan dr harga awal ternyata masih ada tambahan lagi. Total Rp.175.000/org dewasa dan Rp.150.000/org utk anak dibawah 110cm. Bagi yang berencana berlibur ketempat ini sebaiknya mempersiapkan uang yang cukup",NEGATIF
Debu nya ga tahan... Palagi kalo lg gede angin...,NEGATIF
"Bisa woles banget di tempat ini ðŸ˜ðŸ˜. Gak seramai parangtritis, bisa foto sepuasnya, liat ombak sepuasnya.

Kalo makan, jangan malu tanya harga dulu ya.
Ada toilet di dekat parkiran motor.",POSITIF
Cocok buat yang cari-cari seafood. :)),POSITIF
"Mall lumayan besar, tp agak sepi.
Mungkin krn bukan pas weekend.",POSITIF
"Pas kesana parkir penuh akhirnya mau pulang, eh belum juga parkir sudah diminta ongkos parkir. Padahal cuma muter aja di parkiran yang penuh",NEGATIF
"Tempat nya sangat bagus, untuk mendaptkan spot foto pun dibayar dengan seikhlasnya, harga standard untuk parkir dan masuk",POSITIF
"..just 4 for fun together..pantai depok, pesonanya tdk akan pernah luntur. Buat pecinta seafood bisa merapat kesini, banyak pilihan ikan, udang, kerang, kepiting dan tentunya berbagai jenis ikan tersedia disini. Anda bisa pesan langsung diberbagai tempat makan yg tersebar disepanjang pantai atau bisa belanja terlebih dahulu di pasar ikan yg sdh disediakan disini. Kuncinya adalah pintar2lah menawar agar mendapatkan harga yg terbaik sebelum anda bawa ketempat makan untuk diolah. Pada intinya, nikmatilah liburan anda senyaman mungkin..ðŸ˜Š",POSITIF
"Menyedihkan..
Ke toilet aja harus jalan 1 kilo lebih padahal lewat pintu masuk cuma 200 meter.
Tolong di perbaiki lagi",NEGATIF
Mantap,POSITIF
"Tahun baru kesitu ,nonton orang berjubel",NEGATIF
Buat cari tempat nyantai dan ma kan enak.. Ini tempatnya,POSITIF
"tempat yang tepat untuk mencari ikan yg segar, tapi sejak bulan 6-9 masih paceklik ikan, sehingga sepi. pantai nya makin tergerus ke dalam, tanaman pandan berduri yg dulu ada sekarang sudah berkurang. jalan nya mulus tapi sempit sehingg kalau bis lewat sedikit mengganggu untuk 2 arah.",POSITIF
"Pemandangannya luar biasa,liburan murah untuk budenganet yang sangat amat murah",POSITIF
kurang perbaikan..Jmlah satwnya juga gak banyak.Capek jalannya..,NEGATIF
Pantainya kotor,NEGATIF
Cukup menarik,POSITIF
"Jika anda merasa gerah, saat masuk di deretan resto yg menghadap pantai  akan segera terobati,karena anginya lunayan kenceng, makanan serba terjangkau...",POSITIF
"Warisan leluhur Indonesia memang luar biasa.Jika dari agama Budha meninggalkan Candi Borobudur sebagai candi  peninggalan agama Budha terbaik di dunia, dari agama Hindu Indonesia memiliki candi Prambanan, peninggalan candi Hindu terbesar di Asia Tenggara.

Candinya menjulang tinggi mempesona. Kompleknya sakral memanjakan kenangan dan imajinasi kita. Lingkungannya asri dan menyejukkan mata.",POSITIF
toilet atau wc nya susahhhh,NEGATIF
Biasa aja gk terlalu istimewa,NEGATIF
Saya juga pernah ke situ sm teman teman 1 kls ku 2.  Thn yang lalu,POSITIF
"Sayang banget sih, pantai nya harus nya bagus ya klo dirawat. Kotor. Pasir hitam. Ombaknya gede banget khas laut selatan, gak bisa buat main anak2. Klo mau mkn, mesti beli ikan dulu di pasar ikan gajauh dr situ. Kalo disamperin sm ibu2 yang nawarin masak sm nawarin tempat, baiknya tanya dulu harganya, tawar klo bisa. Gw beli ikan hiu 1.5kilo,udang 2kilo,ikan sm cumi1.5kilo, ibu2 itu nawarin 15rb/kilo jadi 75k. Nasi buat 10 org 6k/org, minum 25k total 160k. Aneh aja nawarin kok masakin, waktu main dan makan di pantai Anyer, beli udang sekilo 80k udah plus masak. Bahkan waktu ke pantai Drini, tukang jualannya jg nawarinnya ikan skilo itu sudah pkus masak. Males sih ksitu lagi sih, sayang banget..",NEGATIF
"tempat hangout di jogja dengan akses yang mudah, yang membuat istimewa adanya CGV dan hotel yang istimewa di belakangnya",POSITIF
Aku belum pernah sama sekali lo... Pengen kesana..,NEGATIF
"Melihatvpemandangan dari atas bukit,dkelilingi taman dan spot2 foto , lebih luas dan parkir juga lebih luas dr bbrp th sblmnya",POSITIF
Perlu dijaga kebersihan dan tata letak pedagang,NEGATIF
