text,value
resto seafood boga bahari bagus cocok nikmat senja bareng keluarga kasih,POSITIF
pantai kotor,NEGATIF
enak makan seafood,POSITIF
nya bagus wahana tutup karna efek pandemi,POSITIF
benci orang bayar behhhhh bankrut dah,NEGATIF
parkir benah wisata bagus parkir liar mana harga wajar,NEGATIF
pantai yg indah asri lengkap pasar ikan aneka ragam,POSITIF
pantai nya ombak gak cocok renang,POSITIF
pantai lumayan kalou parkir mobil susah makan warung parkir,NEGATIF
asik,POSITIF
masuk minum wafer baby titip gila alesannya biar beli harga x lipat dr harga ampo nama wahana msh bnyk bom operasi,NEGATIF
orang rokok sayang wisata anak anak sekitar orang rokok saat musim libur bawa anak cepat cepat anak sesak nafas coba complain pegawai gembira loka bilang glzoo larang rokok manajemen larang,NEGATIF
assalamu alaikum wr wb ayo ajak keluarga harga kenal lingkung,POSITIF
kotor pasir hitam ombak gede banget khas laut selatan gak main anak klo mkn mesti beli ikan pasar ikan gajauh dr situ kalo disamperin sm nawarin masak sm nawarin baik harga tawar klo gw beli ikan hiu kilo udang kilo ikan sm cumi kilo nawarin rb kilo k nasi org k org minum k total k aneh aja nawarin masakin main makan pantai anyer beli udang kilo k udah plus masak pantai drini tukang jual jg nawarinnya ikan skilo pkus masak males sih ksitu sih sayang banget,NEGATIF
tgl juni keluarga jogja bay dewasa anak bawah cm harga lebaran dr tgl juni sdh naik rp dr harga normal pasang layar tv atas loket bayar bayar tugas charges tambah rp org laku biaya tambah tsb tdk tulis layar pemberitahuan harga sungguh kecewa harga pokok sdh naik dr harga tambah total rp org dewasa rp org utk anak bawah cm rencana libur tempat uang,NEGATIF
debu nya ga tahan palagi kalo lg gede angin,NEGATIF
woles banget gak serama parangtritis foto puas liat ombak puas kalo makan malu harga ya toilet parkir motor,POSITIF
cocok cari cari seafood,POSITIF
mall lumayan tp sepi krn pas weekend,POSITIF
pas kesana parkir penuh pulang eh parkir ongkos parkir muter aja parkir penuh,NEGATIF
nya bagus mendaptkan spot foto bayar ikhlas harga standard parkir masuk,POSITIF
just for fun together pantai depok pesona tdk luntur cinta seafood rapat kesini pilih ikan udang kerang kepiting jenis ikan sedia pesan langsung bagai makan yg sebar panjang pantai belanja pasar ikan yg sdh sedia kunci pintar tawar harga yg baik bawa tempat makan olah inti nikmat libur nyaman,POSITIF
sedih toilet aja jalan kilo pintu masuk meter tolong baik,NEGATIF
mantap,POSITIF
kesitu nonton orang jubel,NEGATIF
cari nyantai ma enak tempat,POSITIF
cari ikan yg segar paceklik ikan sepi pantai nya gerus tanam pandan dur yg kurang jalan nya mulus sempit sehingg bis ganggu arah,POSITIF
pandang libur murah budenganet murah,POSITIF
baik jmlah satwnya gak capek jalan,NEGATIF
pantai kotor,NEGATIF
tarik,POSITIF
gerah masuk deret resto yg hadap pantai obat anginya lunayan kenceng makan serba jangkau,POSITIF
waris leluhur indonesia agama budha tinggal candi borobudur candi tinggal agama budha baik dunia agama hindu indonesia milik candi prambanan tinggal candi hindu besar asia tenggara candi julang pesona kompleknya sakral manja kenang imajinasi lingkung asri sejuk mata,POSITIF
toilet wc nya susahhhh,NEGATIF
aja gk istimewa,NEGATIF
situ sm teman teman kls ku thn,POSITIF
sayang banget sih pantai nya nya bagus ya klo rawat kotor pasir hitam ombak gede banget khas laut selatan gak main anak klo mkn mesti beli ikan pasar ikan gajauh dr situ kalo disamperin sm nawarin masak sm nawarin baik harga tawar klo gw beli ikan hiu kilo udang kilo ikan sm cumi kilo nawarin rb kilo k nasi org k org minum k total k aneh aja nawarin masakin main makan pantai anyer beli udang kilo k udah plus masak pantai drini tukang jual jg nawarinnya ikan skilo pkus masak males sih ksitu sih sayang banget,NEGATIF
hangout jogja akses mudah istimewa cgv hotel istimewa belakang,POSITIF
lo ken kesana,NEGATIF
melihatvpemandangan bukit dkelilingi taman spot foto luas parkir luas dr bbrp th sblmnya,POSITIF
jaga bersih tata letak dagang,NEGATIF
